CONTACT_DATE	DOW	NO_SHOW_RATE
2017-06-20 00:00:00.000	Tuesday	0.109422492401216
2016-07-06 00:00:00.000	Wednesday	0.127358490566038
2016-09-14 00:00:00.000	Wednesday	0.129310344827586
2016-12-07 00:00:00.000	Wednesday	0.0890688259109312
2017-01-11 00:00:00.000	Wednesday	0.126153846153846
2017-05-10 00:00:00.000	Wednesday	0.0801393728222996
2016-07-27 00:00:00.000	Wednesday	0.105022831050228
2016-10-19 00:00:00.000	Wednesday	0.0733333333333333
2017-03-22 00:00:00.000	Wednesday	0.105442176870748
2016-07-13 00:00:00.000	Wednesday	0.112
2016-08-17 00:00:00.000	Wednesday	0.121338912133891
2017-04-12 00:00:00.000	Wednesday	0.0941828254847645
2016-12-28 00:00:00.000	Wednesday	0.0776699029126214
2017-02-01 00:00:00.000	Wednesday	0.0710659898477157
2017-05-31 00:00:00.000	Wednesday	0.0503597122302158
2016-08-03 00:00:00.000	Wednesday	0.0486111111111111
2016-11-30 00:00:00.000	Wednesday	0.102649006622517
2017-01-18 00:00:00.000	Wednesday	0.0813559322033898
2016-10-12 00:00:00.000	Wednesday	0.12639405204461
2016-11-16 00:00:00.000	Wednesday	0.104761904761905
2017-04-19 00:00:00.000	Wednesday	0.1
2017-05-24 00:00:00.000	Wednesday	0.0712074303405573
2017-06-28 00:00:00.000	Wednesday	0.0846905537459283
2016-08-10 00:00:00.000	Wednesday	0.124513618677043
2016-11-23 00:00:00.000	Wednesday	0.144278606965174
2017-06-14 00:00:00.000	Wednesday	0.0738255033557047
2016-08-31 00:00:00.000	Wednesday	0.145348837209302
2017-04-26 00:00:00.000	Wednesday	0.128113879003559
2016-09-21 00:00:00.000	Wednesday	0.134146341463415
2017-03-29 00:00:00.000	Wednesday	0.125786163522013
2017-06-21 00:00:00.000	Wednesday	0.0869565217391304
2017-01-04 00:00:00.000	Wednesday	0.0852017937219731
2017-02-08 00:00:00.000	Wednesday	0.122448979591837
2017-05-03 00:00:00.000	Wednesday	0.150197628458498
2016-12-21 00:00:00.000	Wednesday	0.140983606557377
